iter	Logloss
0	0.6208244629
1	0.5698618164
2	0.52575354
3	0.4936416626
4	0.4720934448
5	0.4560895691
6	0.4407868652
7	0.4297027283
8	0.4199352417
9	0.4136616211
10	0.4094327393
11	0.4039235229
12	0.3989202881
13	0.3954064331
14	0.3919854431
15	0.3892730103
16	0.3870549011
17	0.3847626343
18	0.3831547852
19	0.3811974182
20	0.3800274353
21	0.3781135864
22	0.3767874756
23	0.3764306641
24	0.3751768188
25	0.3736986084
26	0.3724411621
27	0.3714313354
28	0.3703866577
29	0.3693954468
30	0.3688763123
31	0.3681819763
32	0.3679612427
33	0.3667303467
34	0.365683197
35	0.3648305359
36	0.3644089355
37	0.3643778381
38	0.3640148621
39	0.3629465942
40	0.3618557739
41	0.3609624939
42	0.3603526306
43	0.3597119751
44	0.3586616211
45	0.3579721375
46	0.3577623596
47	0.3570389099
48	0.3566340942
49	0.3561905518
50	0.3557210693
51	0.355409729
52	0.3544197693
53	0.3539750671
54	0.3530717773
55	0.3523330383
56	0.3518327026
57	0.3506521606
58	0.3497909241
59	0.3485618286
60	0.3480554199
61	0.3470750732
62	0.3461109009
63	0.3456821594
64	0.3451394043
65	0.3443509521
66	0.3438565674
67	0.3438561401
68	0.3437443542
69	0.3433530884
70	0.3433049316
71	0.3427574463
72	0.342535553
73	0.3417946777
74	0.3417345276
75	0.3413650513
76	0.3407919312
77	0.3399128418
78	0.3393166199
79	0.3385541382
80	0.3377994995
81	0.3376206665
82	0.3370632935
83	0.3368203125
84	0.3359761353
85	0.3354140625
86	0.3344804077
87	0.3335786438
88	0.3328568726
89	0.3320916138
90	0.3312175903
91	0.3304208374
92	0.3294148865
93	0.329158783
94	0.328507782
95	0.3278074341
96	0.3269015808
97	0.3260320129
98	0.325865387
99	0.3250406189
100	0.3244229736
101	0.3238592529
102	0.3232102661
103	0.3225120239
104	0.3212306824
105	0.320631134
106	0.3196783142
107	0.3189150696
108	0.3183081055
109	0.3174339905
110	0.3166631165
111	0.3157370911
112	0.3146628418
113	0.3140852661
114	0.3134622498
115	0.3123171082
116	0.3117926331
117	0.3110658569
118	0.3104879761
119	0.3100245056
120	0.3092568359
121	0.3082867432
122	0.3073276978
123	0.3066237488
124	0.3056160889
125	0.3049287415
126	0.3041444397
127	0.3033352051
128	0.3024524536
129	0.3016343384
130	0.3009328003
131	0.3002750549
132	0.2992962952
133	0.2986736755
134	0.2980114136
135	0.2972434692
136	0.296166687
137	0.2956873169
138	0.295149353
139	0.2941240234
140	0.2928883972
141	0.2921539001
142	0.291670105
143	0.2907702026
144	0.2900090637
145	0.2895324097
146	0.2890035095
147	0.2880368652
148	0.2870358276
149	0.2862461243
150	0.285813324
151	0.2849509888
152	0.2841265259
153	0.2834258423
154	0.2827336731
155	0.2819954834
156	0.2812580261
157	0.2804501953
158	0.2796013794
159	0.2790215454
160	0.2785228271
161	0.2781698608
162	0.277288147
163	0.2765365601
164	0.2759544067
165	0.2755349121
166	0.2749412231
167	0.2743100586
168	0.2735279236
169	0.2728839111
170	0.2723721924
171	0.2717701416
172	0.2712154541
173	0.2706016846
174	0.2702322998
175	0.269786438
176	0.2691617432
177	0.2685568848
178	0.2680441284
179	0.2673766479
180	0.2668966064
181	0.2664604797
182	0.2660082397
183	0.2653428955
184	0.2646309204
185	0.2640570374
186	0.2636606445
187	0.2630495605
188	0.2625722961
189	0.2621250916
190	0.2616020508
191	0.2610952148
192	0.2606765442
193	0.2600634766
194	0.2595134888
195	0.2590460815
196	0.2586638184
197	0.2580984497
198	0.2573460083
199	0.2566477966
200	0.255800827
201	0.255024826
202	0.2544588318
203	0.2540827637
204	0.2533224487
205	0.2529606323
206	0.2522599487
207	0.251762085
208	0.251026062
209	0.2505597839
210	0.2499554749
211	0.2493524628
212	0.2488427734
213	0.2483629456
214	0.2476386719
215	0.2467164459
216	0.2462971954
217	0.2455888519
218	0.2449324493
219	0.2442957458
220	0.2436746063
221	0.2430662537
222	0.2425617981
223	0.2419476624
224	0.2412694397
225	0.2406656952
226	0.2400705872
227	0.239600769
228	0.2391295624
229	0.2387427368
230	0.238220108
231	0.2373379517
232	0.2368397827
233	0.2364388275
234	0.235954834
235	0.2353605347
236	0.2345881348
237	0.2338078308
238	0.2332758484
239	0.2327953491
240	0.232071228
241	0.2313424072
242	0.230495285
243	0.2299994659
244	0.2296251526
245	0.2289531708
246	0.2285860596
247	0.2283313141
248	0.2278471527
249	0.2273363037
250	0.2264485626
251	0.2257807159
252	0.2253067932
253	0.2246766968
254	0.223892746
255	0.223446579
256	0.2229130554
257	0.2223528137
258	0.2219260406
259	0.221296814
260	0.2206653137
261	0.2202123871
262	0.2195639496
263	0.2193671265
264	0.2188754272
265	0.2184613647
266	0.2180065155
267	0.2175647888
268	0.2168303375
269	0.2164856262
270	0.2161773376
271	0.2155492859
272	0.215147522
273	0.2145199432
274	0.2141107025
275	0.2138296356
276	0.2133669128
277	0.2128259583
278	0.2125344696
279	0.2121916199
280	0.2116559448
281	0.2112169037
282	0.210884491
283	0.2102191162
284	0.2096567688
285	0.2090089417
286	0.2084031372
287	0.2079688416
288	0.2073452454
289	0.2069831238
290	0.2063546753
291	0.2058344116
292	0.2054234314
293	0.2050680542
294	0.2047074127
295	0.2040754242
296	0.2036512299
297	0.2032011719
298	0.2026901245
299	0.2024004669
300	0.2020750427
301	0.2016328735
302	0.2012086487
303	0.2008226471
304	0.2004656372
305	0.1999349213
306	0.1996630249
307	0.199175293
308	0.1986636353
309	0.1984462433
310	0.197964386
311	0.197584549
312	0.1971375275
313	0.1964672699
314	0.1961314392
315	0.1957961121
316	0.1952546387
317	0.194915741
318	0.1943842773
319	0.1939807892
320	0.1932640686
321	0.1927828369
322	0.1925794678
323	0.1921876526
324	0.1918299255
325	0.1913851318
326	0.1910596008
327	0.1907574615
328	0.1903514557
329	0.1897844849
330	0.1894777527
331	0.1893477783
332	0.1889991913
333	0.1886046753
334	0.1880255127
335	0.1875654144
336	0.1872208557
337	0.1869745941
338	0.1865042114
339	0.1860994568
340	0.1857147369
341	0.1853557129
342	0.185044281
343	0.1847513885
344	0.1843054047
345	0.183852066
346	0.1836593933
347	0.1833489685
348	0.183144989
349	0.1829262085
350	0.1825447998
351	0.1822130432
352	0.1817233276
353	0.1812583313
354	0.1809673157
355	0.1807205811
356	0.1804318237
357	0.1800686798
358	0.1797272644
359	0.179481369
360	0.1793137817
361	0.1789008026
362	0.1784633789
363	0.1782035522
364	0.177867691
365	0.1774695282
366	0.177160614
367	0.1767097473
368	0.1761743317
369	0.1756796722
370	0.1751877747
371	0.1749008484
372	0.1745463104
373	0.1740198364
374	0.1735290527
375	0.1731341705
376	0.1727191772
377	0.1723460083
378	0.1720430298
379	0.1715748444
380	0.1710933838
381	0.1708930969
382	0.1705522461
383	0.1702327271
384	0.1699037781
385	0.169620224
386	0.1692501984
387	0.1688638
388	0.1685048828
389	0.1682129974
390	0.1678482361
391	0.1676015625
392	0.1672530975
393	0.1669835358
394	0.1665921173
395	0.1663783875
396	0.1660737
397	0.1657001801
398	0.1654710693
399	0.1651881104
400	0.1649785767
401	0.1647737732
402	0.164414917
403	0.1641391449
404	0.1638961792
405	0.1635897522
406	0.1633587952
407	0.1631442719
408	0.1627329712
409	0.1623768005
410	0.1620105896
411	0.1618184052
412	0.1612970886
413	0.1608415833
414	0.160549469
415	0.1602638702
416	0.1600141907
417	0.1596311035
418	0.1593205261
419	0.1588956757
420	0.1585577393
