iter	Passed	Remaining
0	28	28662
1	59	29867
2	81	27096
3	99	24778
4	118	23503
5	121	20156
6	138	19626
7	144	17928
8	154	16984
9	161	15963
10	163	14655
11	178	14685
12	193	14713
13	209	14721
14	225	14788
15	242	14926
16	259	15009
17	273	14940
18	282	14606
19	306	15010
20	318	14849
21	337	14991
22	352	14987
23	355	14455
24	368	14356
25	380	14246
26	392	14139
27	405	14076
28	417	13985
29	430	13910
30	441	13814
31	448	13575
32	451	13215
33	462	13147
34	474	13083
35	486	13021
36	498	12969
37	499	12651
38	504	12421
39	515	12379
40	528	12364
41	540	12324
42	552	12297
43	565	12277
44	577	12247
45	588	12212
46	593	12027
47	605	12001
48	616	11970
49	628	11949
50	640	11920
51	652	11898
52	664	11877
53	671	11764
54	683	11744
55	695	11728
56	707	11708
57	719	11687
58	731	11666
59	743	11648
60	754	11621
61	766	11601
62	779	11587
63	790	11568
64	802	11547
65	814	11527
66	826	11512
67	827	11346
68	830	11210
69	842	11195
70	844	11051
71	856	11036
72	863	10958
73	875	10956
74	876	10815
75	888	10802
76	900	10793
77	912	10782
78	924	10775
79	936	10767
80	948	10760
81	950	10642
82	963	10644
83	976	10647
84	988	10643
85	1001	10645
86	1013	10640
87	1026	10638
88	1038	10631
89	1050	10621
90	1062	10613
91	1075	10611
92	1087	10602
93	1094	10544
94	1106	10539
95	1117	10527
96	1130	10521
97	1142	10514
98	1145	10424
99	1157	10420
100	1169	10413
101	1182	10407
102	1194	10403
103	1206	10398
104	1218	10388
105	1231	10382
106	1243	10374
107	1255	10366
108	1266	10353
109	1278	10346
110	1290	10337
111	1303	10331
112	1315	10322
113	1327	10314
114	1339	10307
115	1351	10296
116	1363	10288
117	1377	10295
118	1393	10314
119	1407	10323
120	1420	10317
121	1432	10309
122	1444	10299
123	1456	10290
124	1468	10279
125	1480	10270
126	1493	10262
127	1505	10254
128	1517	10243
129	1529	10232
130	1540	10220
131	1552	10212
132	1564	10199
133	1576	10189
134	1588	10180
135	1600	10170
136	1612	10158
137	1624	10147
138	1636	10137
139	1648	10125
140	1660	10114
141	1672	10104
142	1683	10091
143	1695	10079
144	1707	10068
145	1719	10056
146	1730	10043
147	1742	10032
148	1754	10019
149	1765	10006
150	1777	9993
